game_name,active_plyrs(min),active_plyrs(24hrs),pos_reviews,gross_rev,units_sold
War Thunder,41688,85201,78.60%,0,2320000
Phasmophobia,11747,20199,96.70%,170 700 000,1640000
Microsoft Flight Simulator 40th Anniversary Edition,4146,9045,78.10%,63 400 000,140000
DCS World Steam Edition,1053,1895,86.10%,0,100000
VRChat,26136,36530,72.10%,0,430000
Assetto Corsa Competizione,1362,7726,91.70%,21 500 000,812000
Assetto Corsa,5612,14539,92.30%,57 400 000,390000
Escape the Backrooms,951,1839,87.80%,4 100 000,524000
Beat Saber,779,1266,95.90%,27 200 000,130000
iRacing,121,280,86.40%,752000,120000
No Man's Sky,10367,17453,77.70%,119 100 000,300000
HITMAN 3,1358,2501,83.30%,15 300 000,386000
Tabletop Simulator,6099,8380,93.90%,75 200 000,580000
Ghosts of Tabor,499,682,79.80%,862000,53910
VTOL VR,480,661,98%,7 700 000,345000
Half-Life: Alyx,346,702,98.40%,104 700 000,240000
Resident Evil Village,1108,2118,95.80%,123 500 000,270000
Gorilla Tag,746,1548,90.10%,9 500 000,890000
War Robots,1194,2186,62.60%,0,361000
Blade and Sorcery,1010,1540,96.80%,12 000 000,782000
Breachers,217,317,92.10%,299000,12480
Resident Evil 7 Biohazard,659,1337,95%,43 700 000,150000
Universe Sandbox,368,661,96.20%,13 000 000,651000
Elite Dangerous,3311,6548,77.60%,69 100 000,320000
DEVOUR,1107,1877,91.80%,6 500 000,180000
High On Life,153,261,89.10%,13 900 000,291000
MX Bikes,1650,2371,94%,3 300 000,123000
CarX Drift Racing Online,1838,3298,95.50%,13 100 000,130000
SpaceEngine,155,258,95.70%,3 200 000,175000
Vertigo 2,105,189,96.90%,509000,21210
Alien: Isolation,343,601,92.90%,58 300 000,200000
Rec Room,1567,2983,91.40%,0,150000
STAR WARS™: Squadrons,243,432,68.10%,20 100 000,717000
BONELAB,160,300,77.20%,10 600 000,335000
Pavlov VR,487,717,94.20%,9 600 000,677000
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,77,134,70.30%,617000,19290
F1® 22,2092,8149,68.80%,26 100 000,667000
Inside the Backrooms,1816,5812,85%,3 900 000,974000
Into the Radius VR,168,283,93.90%,4 800 000,228000
Fishing Planet,1376,3542,85.70%,0,100000
DiRT Rally 2.0,642,1746,86.80%,16 800 000,724000
Train Simulator Classic,344,1659,69.90%,21 300 000,100000
IL-2 Sturmovik: Battle of Stalingrad,207,532,80.50%,8 200 000,270000
Keep Talking and Nobody Explodes,179,310,97.80%,12 900 000,130000
The Elder Scrolls V: Skyrim VR,227,353,75.80%,12 500 000,305000
BONEWORKS,74,181,92.10%,22 600 000,999000
"Hot Dogs, Horseshoes & Hand Grenades",319,475,97%,1 200 000,77665
AMID EVIL VR,21,31,94.80%,41449,2880
Tetris® Effect: Connected,162,190,95.50%,4 000 000,153000
Golf It!,1754,2080,89.70%,15 100 000,250000
Tactical Assault VR,53,63,88.50%,113000,11490
Walkabout Mini Golf VR,115,145,98.40%,734000,65820
Pinball FX,98,152,52.40%,0,8190
X-Plane 12,171,440,75.90%,1 700 000,38100
Contractors,104,138,84.90%,771000,53603
FOREWARNED,112,145,91.20%,1 200 000,132000
SUPERHOT VR,56,107,73.70%,12 300 000,711000
The Light Brigade,10,27,94.80%,299000,14940
RealFlight Evolution,274,333,79.20%,323000,5760
Blood Trail,47,55,79.10%,1 200 000,62138
rFactor 2,160,1023,80.40%,5 900 000,268000
City Car Driving,147,656,81.80%,6 800 000,410000
Automobilista 2,239,800,90.40%,4 700 000,181000
FIVE NIGHTS AT FREDDY'S: HELP WANTED,29,60,96.60%,7 200 000,339000
The Walking Dead: Saints & Sinners,53,98,88.30%,7 400 000,253000
Vertigo Remastered,44,58,93.60%,485000,27120
Project Wingman,113,183,94.40%,7 100 000,393000
OVR Toolkit,1032,1469,89%,478000,52773
Ghost Watchers,142,586,86.60%,3 700 000,343000
Hellish Quart,51,87,91.40%,1 800 000,157000
PULSAR: Lost Colony,164,249,91.10%,2 700 000,148000
Zenith: The Last City,70,123,82%,2 400 000,110000
Hellsplit: Arena,17,39,85.20%,2 000 000,108000
CUSTOM ORDER MAID 3D2 It's a Night Magic,20,31,84%,1 500 000,50192
HARD BULLET,21,59,87.10%,1 400 000,93900
VR Kanojo / VRカノジョ,6,9,75.40%,1 800 000,50895
Ancient Dungeon,11,21,95.90%,363000,23700
Job Simulator,37,187,90.60%,12 100 000,724000
Virtual Desktop,89,133,69.90%,1 200 000,107000
RUMBLE,31,50,84.80%,646000,42180
Fallout 4 VR,42,92,61.90%,11 900 000,281000
RIDE 4,161,557,81.20%,8 000 000,256000
Legendary Tales,16,25,82.30%,1 400 000,52830
After the Fall®,55,121,77.40%,1 900 000,66720
Microsoft Flight Simulator X: Steam Edition,593,1077,86.10%,13 400 000,823000
PokerStars VR,64,69,84.70%,0,41208
Rick and Morty: Virtual Rick-ality,2,18,74.70%,3 200 000,148000
Onward,66,92,69.20%,4 900 000,266000
Cooking Simulator VR,3,19,83.50%,607000,34020
Among Us VR,15,42,76.70%,487000,60960
The Last Clockwinder,5,26,98.40%,210000,11130
Zero Caliber VR,24,54,78.20%,2 200 000,123000
Pistol Whip,18,37,93.30%,2 000 000,103000
Pistol Whip,18,37,93.30%,2 000 000,103000
Arizona Sunshine®,19,134,79.80%,9 600 000,359000
Myst,16,27,89.40%,707000,30780
Kayak VR: Mirage,4,11,87.10%,306000,18630
X-Plane 11,471,1137,92.60%,14 100 000,333000
I Expect You To Die 2,2,13,96.60%,516000,28530
Green Hell VR,11,24,76.70%,385000,21210
Derail Valley,44,117,94%,1 700 000,109000
F1® 2021,264,948,85.60%,41 800 000,110000
XSOverlay,775,1174,90.30%,195000,25590
Star Trek™: Bridge Crew,19,21,76.60%,3 000 000,107000
Ragnarock,19,44,95%,1 100 000,75450
LOST EMBER - VR Edition,1,2,55.60%,34698,1890
Synth Riders,11,26,92.90%,616000,39330
Townsmen VR,5,21,81.50%,187000,11520
SENRAN KAGURA Peach Beach Splash,12,31,80.40%,1 900 000,75146
Survival Nation,2,7,73.20%,65359,2910
POPULATION: ONE,45,89,84%,1 600 000,70980
NoLimits 2 Roller Coaster Simulation,47,128,95.60%,1 400 000,45945
Aerofly FS 4 Flight Simulator,10,38,82.40%,359000,7830
The Thrill of the Fight - VR Boxing,9,27,95.50%,757000,102000
I Expect You To Die,9,21,94.50%,2 300 000,136000
Spooky's Jump Scare Mansion: HD Renovation,13,42,95.80%,684000,95980
Medal of Honor™: Above and Beyond,6,13,61.70%,2 600 000,64710
Vacation Simulator,6,33,91.40%,312000,13468
GORN,10,30,94.20%,3 200 000,225000
Hand Simulator,95,191,84.10%,6 200 000,470000
One-armed cook,386,1290,93.30%,0,332000
Guardians Frontline,10,12,86.60%,58839,4020
Creed: Rise to Glory™,9,32,79.60%,1 300 000,63295
The Room VR: A Dark Matter,3,9,97.60%,1 900 000,92400
Drunkn Bar Fight,3,13,74.70%,358000,36067
SURV1V3,8,21,82.10%,912000,49380
Noun Town: VR Language Learning,3,4,91.20%,22647,2070
Duck Season,2,8,84.10%,916000,62500
EVERSPACE™,52,126,79%,12 700 000,665000
Wrench,5,16,91.30%,490000,26004
All-In-One Sports VR,16,39,84.20%,222000,14280
Megaton Rainfall,2,12,71.70%,746000,65092
I'm on Observation Duty 3,3,9,80.50%,12918,5700
Steel Crew,1,7,87.10%,171000,12330
Touge Shakai,15,35,82.10%,98229,8190
RaceRoom Racing Experience,143,809,73.60%,0,909000
HereSphere VR Video Player,13,26,90.60%,72864,3180
Kill It With Fire VR,6,8,92.30%,9714,810
Swordsman VR,2,6,73.80%,211000,14430
VAIL VR,29,44,81.50%,376000,31380
Moss: Book II,5,15,99.20%,175000,7380
WGT Golf,175,266,61.90%,0,62520
Vermillion - VR Painting,3,6,95.60%,220000,14940
Budget Cuts,7,13,80.40%,1 400 000,69230
Trover Saves the Universe,5,9,91.60%,1 900 000,84783
